,competition,game,team,role,player,rater,is_human,rate,goals,assists,shots_ontarget,shots_offtarget,shots_blocked,chances_to_score,drib_success,drib_unsuccess,key_passes,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,was_fouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,yellow_cards,red_cards,dang_mistakes,countattack,offsides,missed_penalties,own_goals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness_to_goals,win,lost,is_home_team,mins,game_duration
313,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,DR,Lukasz Piszczek,SofaScore,0,7.0,0,0,0,1,1,0,1,0,1,103,62,7,3,5,3,1,3,1,2,0,17,2,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,1.307692308,0.179921636,0.65158371,0.540540541,1.898386295,0.0,1,0,0,90,90
314,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,DR,Lukasz Piszczek,Kicker,1,2.5,0,0,0,1,1,0,1,0,1,103,62,7,3,5,3,1,3,1,2,0,17,2,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,1.307692308,0.179921636,0.65158371,0.540540541,1.898386295,0.0,1,0,0,90,90
315,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DC,Vedran Corluka,WhoScored,0,7.42,0,0,0,0,0,0,0,0,0,50,30,7,0,0,3,5,1,0,6,2,7,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.166666667,0.308050941,0.641025641,0.34375,1.011509435,0.0,1,0,0,90,90
316,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DC,Vedran Corluka,SofaScore,0,7.3,0,0,0,0,0,0,0,0,0,50,30,7,0,0,3,5,1,0,6,2,7,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.166666667,0.308050941,0.641025641,0.34375,1.011509435,0.0,1,0,0,90,90
317,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DC,Vedran Corluka,TheGuardian,1,8.0,0,0,0,0,0,0,0,0,0,50,30,7,0,0,3,5,1,0,6,2,7,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.166666667,0.308050941,0.641025641,0.34375,1.011509435,0.0,1,0,0,90,90
318,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DC,Vedran Corluka,Kicker,1,3.0,0,0,0,0,0,0,0,0,0,50,30,7,0,0,3,5,1,0,6,2,7,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.166666667,0.308050941,0.641025641,0.34375,1.011509435,0.0,1,0,0,90,90
319,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,MR,Jakub Blaszczykowski,WhoScored,0,7.7,0,0,0,3,2,1,4,1,0,54,37,3,0,3,3,1,1,2,0,2,11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.230769231,0.123706164,0.692307692,0.418918919,1.47318929,0.0,1,0,0,80,90
320,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,MR,Jakub Blaszczykowski,SofaScore,0,7.1,0,0,0,3,2,1,4,1,0,54,37,3,0,3,3,1,1,2,0,2,11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.230769231,0.123706164,0.692307692,0.418918919,1.47318929,0.0,1,0,0,80,90
321,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,MR,Jakub Blaszczykowski,Kicker,1,1.5,0,0,0,3,2,1,4,1,0,54,37,3,0,3,3,1,1,2,0,2,11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.230769231,0.123706164,0.692307692,0.418918919,1.47318929,0.0,1,0,0,80,90
322,euro_2016,"Germany - Ukraine, 2 - 0",Germany,DC,Jerome Boateng,WhoScored,0,7.34,0,0,0,1,1,0,0,0,0,112,91,8,1,0,15,5,1,0,1,0,15,0,2,7,0,4,1,0,0,0,0,0,0,1,0,0,0,1.461538462,0.110153075,0.692307692,0.55,1.85787447,0.0,1,0,0,90,90
323,euro_2016,"Germany - Ukraine, 2 - 0",Germany,DC,Jerome Boateng,SofaScore,0,7.7,0,0,0,1,1,0,0,0,0,112,91,8,1,0,15,5,1,0,1,0,15,0,2,7,0,4,1,0,0,0,0,0,0,1,0,0,0,1.461538462,0.110153075,0.692307692,0.55,1.85787447,0.0,1,0,0,90,90
324,euro_2016,"Germany - Ukraine, 2 - 0",Germany,DC,Jerome Boateng,TheGuardian,1,8.0,0,0,0,1,1,0,0,0,0,112,91,8,1,0,15,5,1,0,1,0,15,0,2,7,0,4,1,0,0,0,0,0,0,1,0,0,0,1.461538462,0.110153075,0.692307692,0.55,1.85787447,0.0,1,0,0,90,90
325,euro_2016,"Germany - Ukraine, 2 - 0",Germany,DC,Jerome Boateng,Kicker,1,2.5,0,0,0,1,1,0,0,0,0,112,91,8,1,0,15,5,1,0,1,0,15,0,2,7,0,4,1,0,0,0,0,0,0,1,0,0,0,1.461538462,0.110153075,0.692307692,0.55,1.85787447,0.0,1,0,0,90,90
326,euro_2016,"Poland - Northern Ireland, 1 - 0",Northern Ireland,DC,Gareth McAuley,Kicker,1,3.5,0,0,0,0,0,0,0,0,0,41,23,3,0,0,3,2,3,2,6,4,5,1,0,2,2,1,3,1,0,1,0,0,1,0,0,0,0,0.928571429,0.164361346,0.642857143,0.388888889,0.0,0.0,0,1,0,90,90
327,euro_2016,"Poland - Northern Ireland, 1 - 0",Northern Ireland,DC,Gareth McAuley,SofaScore,0,6.8,0,0,0,0,0,0,0,0,0,41,23,3,0,0,3,2,3,2,6,4,5,1,0,2,2,1,3,1,0,1,0,0,1,0,0,0,0,0.928571429,0.164361346,0.642857143,0.388888889,0.0,0.0,0,1,0,90,90
